t0,pv,pa,airborne,rms
59.0,0.6973366737365723,0.5833,1,0.060060158371925354
59.5,0.6973366737365723,0.0,1,0.05434461310505867
60.0,0.6786061525344849,0.5896,1,0.08653195202350616
60.5,0.6786061525344849,0.8811,1,0.09974665939807892
61.0,0.6474021077156067,0.8007,1,0.07520057260990143
61.5,0.6474021077156067,0.5582,1,0.0597648061811924
62.0,0.7141677141189575,0.0,1,0.06483659893274307
62.5,0.7141677141189575,0.0,1,0.07257828116416931
63.0,0.6690823435783386,0.6436,1,0.07700683176517487
63.5,0.6690823435783386,0.7259,1,0.09345581382513046
64.0,0.7576733827590942,0.8168,1,0.10115870833396912
64.5,0.7576733827590942,0.5485,1,0.096784308552742
65.0,0.7646307945251465,0.6352,1,0.10105264186859131
65.5,0.7646307945251465,0.0,1,0.10324133932590485
66.0,0.7548080086708069,0.0,0,0.10103945434093475
66.5,0.7548080086708069,0.0,0,0.09770938754081726
67.0,0.7543712258338928,0.0,0,0.09655912965536118
67.5,0.7543712258338928,0.0,0,0.09818515181541443
68.0,0.7432674765586853,0.5729,0,0.0926598608493805
68.5,0.7432674765586853,0.5365,0,0.06158992648124695
69.0,0.7101673483848572,0.0,0,0.011953705921769142
69.5,0.7101673483848572,0.0,0,0.004749722313135862
70.0,0.8061136603355408,0.0,0,0.004090111702680588
70.5,0.8061136603355408,0.0,0,0.004145411774516106
71.0,0.847410261631012,0.0,0,0.004379464779049158
71.5,0.847410261631012,0.0,0,0.004069054499268532
